Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD00001,2022-07-23,CUST0084,Camera,Electronics,North,2,1257,2514,613.43
ORD00002,2021-10-14,CUST0527,Camera,Electronics,West,1,1299,1299,197.71
ORD00003,2023-08-13,CUST0040,Laptop,Electronics,North,2,571,1142,223.38
ORD00004,2021-04-05,CUST0903,Camera,Electronics,West,3,940,2820,159.22
ORD00005,2021-07-26,CUST0384,Phone,Electronics,North,1,973,973,139.19
ORD00006,2021-10-23,CUST0030,Keyboard,Accessories,South,1,776,776,58.34
ORD00007,2023-01-23,CUST0008,Phone,Electronics,West,4,390,1560,241.69
ORD00008,2021-02-03,CUST0897,Monitor,Electronics,South,5,845,4225,1053.33
ORD00009,2023-01-18,CUST0952,Monitor,Electronics,East,3,1401,4203,323.22
ORD00010,2022-05-17,CUST0648,Keyboard,Accessories,East,1,808,808,227.43
ORD00011,2022-02-16,CUST0691,Tablet,Electronics,North,1,237,237,49.17
ORD00012,2023-07-09,CUST0558,Printer,Electronics,South,3,1403,4209,1075.28
ORD00013,2021-08-11,CUST0507,Mouse,Accessories,West,2,320,640,88.03
ORD00014,2022-06-08,CUST0056,Mouse,Accessories,West,2,304,608,42.6
ORD00015,2022-09-13,CUST0511,Printer,Electronics,South,4,772,3088,863.45
ORD00016,2023-08-03,CUST0949,Printer,Electronics,North,1,165,165,42.41
ORD00017,2022-03-05,CUST0907,Laptop,Electronics,West,1,845,845,185.47
ORD00018,2023-10-01,CUST0158,Keyboard,Accessories,South,1,979,979,134.48
ORD00019,2021-11-19,CUST0882,Tablet,Electronics,West,1,348,348,55.7
ORD00020,2022-07-22,CUST0564,Monitor,Electronics,East,3,99,297,74.73
ORD00021,2022-11-02,CUST0392,Camera,Electronics,East,1,994,994,251.77
ORD00022,2023-11-25,CUST0801,Camera,Electronics,East,3,184,552,41.12
ORD00023,2021-07-19,CUST0045,Tablet,Electronics,West,2,750,1500,423.74
ORD00024,2021-12-31,CUST0474,Tablet,Electronics,East,4,1344,5376,328.96
ORD00025,2023-11-07,CUST0927,Tablet,Electronics,South,5,146,730,66.07
ORD00026,2022-11-01,CUST0168,Printer,Electronics,South,4,346,1384,180.96
ORD00027,2022-05-26,CUST0899,Keyboard,Accessories,West,3,284,852,85.82
ORD00028,2021-03-30,CUST0722,Mouse,Accessories,North,3,594,1782,193.85
ORD00029,2021-04-09,CUST0627,Monitor,Electronics,North,2,839,1678,317.99
ORD00030,2022-02-25,CUST0724,Mouse,Accessories,South,5,1114,5570,816.73
ORD00031,2021-02-05,CUST0689,Printer,Electronics,South,5,1234,6170,459.54
ORD00032,2022-09-29,CUST0355,Tablet,Electronics,South,3,1366,4098,724.84
ORD00033,2022-02-21,CUST0747,Tablet,Electronics,East,2,842,1684,177.39
ORD00034,2022-03-05,CUST0966,Monitor,Electronics,West,3,76,228,43.11
ORD00035,2022-06-25,CUST0817,Laptop,Electronics,East,4,791,3164,781.84
ORD00036,2023-09-18,CUST0516,Mouse,Accessories,East,3,504,1512,225.85
ORD00037,2023-03-22,CUST0738,Monitor,Electronics,North,5,767,3835,542.46
ORD00038,2021-11-14,CUST0730,Laptop,Electronics,West,4,929,3716,947.72
ORD00039,2021-10-13,CUST0739,Keyboard,Accessories,South,1,967,967,241.33
ORD00040,2023-07-18,CUST0281,Tablet,Electronics,West,4,1463,5852,746.68
ORD00041,2023-02-01,CUST0366,Keyboard,Accessories,East,2,1099,2198,323.7
ORD00042,2021-04-07,CUST0114,Keyboard,Accessories,East,4,1451,5804,385.71
ORD00043,2023-07-30,CUST0595,Keyboard,Accessories,West,3,910,2730,415.09
ORD00044,2021-01-27,CUST0773,Phone,Electronics,South,2,396,792,232.88
ORD00045,2023-02-08,CUST0769,Keyboard,Accessories,North,5,1140,5700,513.49
ORD00046,2023-12-01,CUST0689,Phone,Electronics,East,2,1057,2114,504.86
ORD00047,2022-08-23,CUST0481,Laptop,Electronics,North,3,1357,4071,278.98
ORD00048,2022-08-30,CUST0023,Phone,Electronics,North,2,1319,2638,335.9
ORD00049,2023-03-02,CUST0674,Monitor,Electronics,South,1,511,511,144.25
ORD00050,2021-12-22,CUST0010,Mouse,Accessories,South,2,110,220,59.71
ORD00051,2022-01-13,CUST0662,Monitor,Electronics,South,2,96,192,51.58
ORD00052,2022-03-21,CUST0455,Phone,Electronics,South,1,408,408,57.9
ORD00053,2023-02-12,CUST0001,Printer,Electronics,South,4,1048,4192,699.65
ORD00054,2022-11-25,CUST0260,Printer,Electronics,East,5,1411,7055,1744.33
ORD00055,2022-01-19,CUST0894,Laptop,Electronics,North,3,1037,3111,184.68
ORD00056,2023-07-18,CUST0309,Camera,Electronics,South,5,283,1415,318.75
ORD00057,2022-01-11,CUST0603,Camera,Electronics,West,5,952,4760,382.51
ORD00058,2023-07-12,CUST0876,Laptop,Electronics,East,1,1121,1121,197.39
ORD00059,2023-10-17,CUST0692,Tablet,Electronics,East,1,753,753,78.7
ORD00060,2022-08-12,CUST0511,Monitor,Electronics,East,3,568,1704,501.17
ORD00061,2023-06-04,CUST0056,Laptop,Electronics,North,5,155,775,135.84
ORD00062,2021-08-06,CUST0614,Printer,Electronics,West,1,1471,1471,438.32
ORD00063,2022-05-12,CUST0976,Laptop,Electronics,South,4,1104,4416,1124.91
ORD00064,2023-07-24,CUST0003,Camera,Electronics,East,1,959,959,222.7
ORD00065,2021-08-16,CUST0351,Mouse,Accessories,North,3,1379,4137,962.44
ORD00066,2023-12-09,CUST0694,Monitor,Electronics,West,4,884,3536,701.97
ORD00067,2021-06-15,CUST0561,Tablet,Electronics,South,4,476,1904,518.15
ORD00068,2023-03-09,CUST0639,Camera,Electronics,West,3,736,2208,490.16
ORD00069,2023-11-12,CUST0453,Camera,Electronics,North,3,998,2994,565.76
ORD00070,2021-01-28,CUST0263,Printer,Electronics,West,5,529,2645,582.68
ORD00071,2021-08-02,CUST0242,Monitor,Electronics,East,1,1490,1490,393.83
ORD00072,2023-04-22,CUST0963,Laptop,Electronics,North,3,756,2268,450.85
ORD00073,2023-07-17,CUST0336,Laptop,Electronics,South,4,932,3728,467.49
ORD00074,2022-05-16,CUST0852,Phone,Electronics,South,4,710,2840,574.85
ORD00075,2023-12-19,CUST0825,Monitor,Electronics,West,3,1320,3960,1086.21
